,channelGrouping,device.browser,device.deviceCategory,device.operatingSystem,trafficSource.medium,device.isMobile,weekend_prop,hour,totals.hits.log,totals.pageviews.log,bounce_prop
0,Direct,Chrome,desktop,Macintosh,(none),0,0.0,22.0,2.6390573296152584,2.5649493574615367,0.0
1,Referral,Chrome,desktop,Macintosh,referral,0,0.6666666666666666,21.0,2.6390573296152584,2.3978952727983707,0.0
2,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,14.0,2.5257286443082556,2.3513752571634776,0.0
3,Referral,Chrome,desktop,Linux,referral,0,0.0,20.0,3.091042453358316,2.995732273553991,0.0
4,Referral,Chrome,desktop,Linux,referral,0,0.0,17.0,2.2512917986064953,2.2512917986064953,0.0
5,Direct,Chrome,desktop,Linux,(none),0,0.0,20.0,3.332204510175204,3.091042453358316,0.0
6,Direct,Chrome,desktop,Windows,(none),0,0.0,15.0,3.5553480614894135,3.4339872044851463,0.0
7,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,16.0,2.8622008809294686,2.833213344056216,0.0
8,Organic Search,Safari,mobile,iOS,organic,1,0.0,12.0,2.70805020110221,2.5649493574615367,0.0
9,Direct,Firefox,desktop,Linux,(none),0,0.0,12.5,2.0794415416798357,2.0794415416798357,0.5
10,Organic Search,Safari,desktop,Macintosh,organic,0,0.0,13.0,3.258096538021482,3.1354942159291497,0.0
11,Referral,Chrome,desktop,Macintosh,referral,0,0.0,12.0,1.6094379124341003,1.6094379124341003,0.0
12,Direct,Chrome,desktop,Macintosh,(none),0,1.0,20.0,2.2512917986064953,2.2512917986064953,0.0
13,Direct,Chrome,desktop,Macintosh,(none),0,0.6666666666666666,2.0,2.70805020110221,2.6390573296152584,0.0
14,Organic Search,Chrome,desktop,Windows,organic,0,0.0,10.0,2.5649493574615367,2.3513752571634776,0.125
15,Organic Search,Safari,mobile,iOS,organic,1,0.0,3.0,2.740840023925201,2.70805020110221,0.5
16,Organic Search,Chrome,desktop,Macintosh,organic,0,0.5,2.5,2.803360380906535,2.5649493574615367,0.0
17,Referral,Chrome,desktop,Macintosh,referral,0,0.375,17.0,1.0986122886681098,1.0986122886681098,0.25
18,Organic Search,Chrome,desktop,Macintosh,organic,0,0.1428571428571428,2.0,0.0,0.0,0.5714285714285714
19,Organic Search,Chrome,desktop,Windows,organic,0,0.1875,16.0,0.0,0.0,0.75
20,Display,Chrome,desktop,Windows,cpm,0,0.0,20.5,2.970414465569701,2.772588722239781,0.0
21,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,14.0,1.9459101490553132,1.9459101490553132,0.0
22,Organic Search,Chrome,desktop,Windows,organic,0,0.0,0.0,3.7376696182833684,3.6109179126442243,0.0
23,Direct,Chrome,desktop,Macintosh,(none),0,0.0,17.5,2.1400661634962708,2.1400661634962708,0.25
24,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,21.0,1.3862943611198906,1.3862943611198906,0.0
25,Organic Search,Chrome,desktop,Macintosh,organic,0,0.3333333333333333,5.0,1.6094379124341003,1.6094379124341003,0.0
26,Referral,Chrome,desktop,Windows,referral,0,0.0,15.0,3.367295829986474,3.044522437723423,0.0
27,Direct,Chrome,desktop,Windows,(none),0,0.0,15.0,3.7612001156935624,3.5553480614894135,0.0
28,Organic Search,Safari,desktop,Macintosh,organic,0,0.25,17.5,2.740840023925201,2.6026896854443837,0.0
29,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.5,2.1972245773362196,2.0794415416798357,0.0
30,Direct,Chrome,desktop,Macintosh,(none),0,0.0,17.5,2.0794415416798357,1.8718021769015913,0.0
31,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.5,3.044522437723423,2.772588722239781,0.0
32,Direct,Chrome,desktop,Macintosh,(none),0,0.0,7.0,3.8066624897703196,3.58351893845611,0.0
33,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,18.0,3.5553480614894135,3.044522437723423,0.0
34,Direct,Chrome,mobile,Android,(none),1,0.0,19.0,2.772588722239781,2.5649493574615367,0.0
35,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,18.0,2.4849066497880004,2.1972245773362196,0.0
36,Referral,Chrome,desktop,Macintosh,referral,0,0.0,14.0,2.5257286443082556,2.2512917986064953,0.0
37,Referral,Chrome,desktop,Macintosh,referral,0,0.0,15.0,2.70805020110221,2.4849066497880004,0.0
38,Referral,Chrome,desktop,Linux,referral,0,0.0,0.5,3.295836866004329,3.044522437723423,0.0
39,Direct,Chrome,desktop,Chrome OS,(none),0,0.0,3.0,3.258096538021482,2.5649493574615367,0.0
40,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,2.6390573296152584,2.0794415416798357,0.0
41,Organic Search,Chrome,desktop,Windows,organic,0,0.0,15.0,3.367295829986474,3.091042453358316,0.0
42,Organic Search,Edge,desktop,Windows,organic,0,0.0,2.0,2.6390573296152584,2.4849066497880004,0.0
43,Paid Search,Chrome,desktop,Chrome OS,cpc,0,0.0,3.0,3.6109179126442243,3.4011973816621555,0.0
44,Organic Search,Chrome,desktop,Windows,organic,0,0.0,1.0,3.258096538021482,3.044522437723423,0.0
45,Referral,Chrome,desktop,Macintosh,referral,0,0.0,13.0,3.1780538303479458,2.917770732084279,0.0
46,Organic Search,Chrome,desktop,Windows,organic,0,0.5,20.5,2.4423470353692043,2.3978952727983707,0.0
47,Referral,Chrome,desktop,Macintosh,referral,0,0.125,12.0,2.3513752571634776,2.2512917986064953,0.25
48,Referral,Chrome,desktop,Windows,referral,0,1.0,2.0,4.5217885770490405,4.1588830833596715,0.0
49,Organic Search,Chrome,mobile,Android,organic,1,0.25,12.0,2.0149030205422647,1.791759469228055,0.5
50,Social,Chrome,desktop,Macintosh,referral,0,0.0,19.0,2.772588722239781,2.70805020110221,0.0
51,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,3.6635616461296463,3.258096538021482,0.0
52,Referral,Chrome,desktop,Macintosh,referral,0,0.0,14.0,2.1400661634962708,1.9459101490553132,0.1666666666666666
53,Organic Search,Chrome,desktop,Macintosh,organic,0,1.0,12.0,3.258096538021482,3.091042453358316,0.0
54,Organic Search,Safari,mobile,iOS,organic,1,0.0,2.0,2.4849066497880004,2.3513752571634776,0.0
55,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,5.0,3.2188758248682006,3.1354942159291497,0.0
56,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,21.0,3.5115454388310208,3.2386784521643803,0.0
57,Referral,Chrome,desktop,Macintosh,referral,0,0.0,10.5,1.791759469228055,1.5040773967762742,0.25
58,Referral,Chrome,desktop,Macintosh,referral,0,0.0,14.0,3.5553480614894135,3.2188758248682006,0.0
59,Referral,Chrome,desktop,Macintosh,referral,0,0.5,7.0,4.310799125385514,4.0163830207523885,0.0
60,Referral,Chrome,desktop,Macintosh,referral,0,0.6666666666666666,16.0,2.302585092994046,2.0794415416798357,0.3333333333333333
61,Referral,Chrome,desktop,Macintosh,referral,0,0.0,9.5,3.5553480614894135,3.1780538303479458,0.0
62,Direct,Chrome,desktop,Macintosh,(none),0,0.0,4.0,1.791759469228055,1.791759469228055,0.0
63,Organic Search,Internet Explorer,desktop,Windows,organic,0,1.0,19.0,2.5649493574615367,2.3978952727983707,0.3333333333333333
64,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,18.0,3.295836866004329,3.044522437723423,0.0
65,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,2.0,4.672828834461906,4.406719247264253,0.0
66,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,4.406719247264253,4.1588830833596715,0.0
67,Organic Search,Chrome,desktop,Windows,organic,0,0.1666666666666666,21.5,2.833213344056216,2.6026896854443837,0.0
68,Referral,Chrome,desktop,Macintosh,referral,0,0.0,11.5,2.995732273553991,2.8622008809294686,0.0
69,Referral,Chrome,desktop,Macintosh,referral,0,0.5,14.0,2.3978952727983707,2.1400661634962708,0.0
70,Direct,Chrome,desktop,Macintosh,(none),0,0.0,13.0,3.1354942159291497,2.772588722239781,0.0
71,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,17.0,4.2626798770413155,4.02535169073515,0.0
72,Paid Search,Chrome,desktop,Windows,cpc,0,0.5,15.5,3.2771447329921766,3.068052935133617,0.0
73,Organic Search,Chrome,desktop,Windows,organic,0,0.0,19.0,2.6390573296152584,2.3513752571634776,0.0
74,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,13.5,2.2512917986064953,2.1400661634962708,0.0
75,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,17.0,2.772588722239781,2.302585092994046,0.0
76,Social,Safari,desktop,Macintosh,referral,0,0.0,15.0,0.0,0.0,0.6666666666666666
77,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,20.0,2.995732273553991,2.70805020110221,0.0
78,Referral,Chrome,desktop,Macintosh,referral,0,0.0,12.0,1.791759469228055,1.3862943611198906,0.0
79,Direct,Chrome,desktop,Macintosh,(none),0,0.0,4.0,2.803360380906535,2.5649493574615367,0.5
80,Organic Search,Chrome,desktop,Windows,organic,0,0.0,16.0,2.9444389791664403,2.70805020110221,0.2
81,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,1.791759469228055,1.791759469228055,0.0
82,Referral,Chrome,desktop,Macintosh,referral,0,0.0833333333333333,18.0,0.0,0.0,0.75
83,Organic Search,Chrome,desktop,Linux,organic,0,0.0,18.0,2.70805020110221,2.4849066497880004,0.0
84,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.5,2.772588722239781,2.4849066497880004,0.25
85,Direct,Chrome,desktop,Macintosh,(none),0,0.5,14.0,4.276666119016055,3.8394523125933104,0.0
86,Social,Chrome,desktop,Windows,referral,0,0.0,20.0,3.9889840465642745,3.6888794541139363,0.0
87,Direct,Chrome,desktop,Macintosh,(none),0,0.1111111111111111,18.0,1.3862943611198906,1.3862943611198906,0.1111111111111111
88,Referral,Chrome,desktop,Linux,referral,0,0.0,8.0,2.3978952727983707,2.2512917986064953,0.0
89,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,20.0,3.367295829986474,2.9444389791664403,0.0
90,Referral,Chrome,desktop,Windows,referral,0,0.0,18.0,2.6390573296152584,2.5649493574615367,0.0
91,Direct,Safari,mobile,iOS,(none),1,0.0,19.0,2.9444389791664403,2.70805020110221,0.0
92,Direct,Chrome,desktop,Macintosh,(none),0,0.0,22.0,3.2771447329921766,3.044522437723423,0.0
